,House Number,Street,First Name,Surname,Age,Relationship to Head of House,Marital Status,Gender,Occupation,Infirmity,Religion
311,2,Powell Dam,Gail,Wood,10,Daughter,NA,Female,Student,None,NA
312,2,Powell Dam,June,Wood,6,Daughter,NA,Female,Student,None,NA
313,2,Powell Dam,David,Wood,3,Son,NA,Male,Child,None,NA
314,3,Powell Dam,Janet,Booth,21,Head,Single,Female,"Physicist, medical",None,Catholic
315,4,Powell Dam,Pamela,Davies,70,Head,Married,Female,Retired Teaching laboratory technician,None,Sikh
316,4,Powell Dam,Marc,Davies,74,Husband,Married,Male,Retired Air cabin crew,None,None
317,4,Powell Dam,Charles,Davies,21,Grandson,Single,Male,University Student,None,Sikh
318,4,Powell Dam,Stephanie,Davies,17,Granddaughter,NA,Female,Student,None,NA
319,4,Powell Dam,Tracey,Davies,11,Granddaughter,NA,female,Student,None,NA
320,4,Powell Dam,Alan,Davies,11,Grandson,NA,Male,Student,None,NA
321,4,Powell Dam,Hilary,Davies,7,Granddaughter,NA,Female,Student,None,NA
322,5,Powell Dam,Julia,Stanley,45,Head,Married,Female,Dentist,None,Muslim
323,5,Powell Dam,Josh,Stanley,48,Husband,Married,Male,Camera operator,None,None
324,5,Powell Dam,Charles,Stanley,13,Son,NA,Male,Student,None,NA
325,5,Powell Dam,Gail,Stanley,10,Daughter,NA,Female,Student,None,NA
326,6,Powell Dam,Kyle,Powell,41,Head,Married,Male,Midwife,None,Christian
327,6,Powell Dam,Brenda,Powell,34,Wife,Married,Female,Adult guidance worker,None,Christian
328,6,Powell Dam,Alexander,Powell,53,Cousin,Single,Male,Bonds trader,None,None
329,6,Powell Dam,Jack,Ball,47,Cousin,Divorced,Male,"Embryologist, clinical",None,Christian
330,7,Powell Dam,Kimberley,Harvey,52,Head,Married,Female,Merchant navy officer,None,Methodist
331,7,Powell Dam,Nicholas,Harvey,54,Husband,Married,Male,Furniture conservator/restorer,None,None
332,8,Powell Dam,Bethany,Grant,45,Head,Married,Female,Aeronautical engineer,None,None
333,8,Powell Dam,Henry,Grant,51,Husband,Married,Male,"Engineer, aeronautical",None,None
334,8,Powell Dam,Suzanne,Grant,14,Daughter,NA,Female,Student,None,NA
335,9,Powell Dam,Josephine,Parsons,29,Head,Divorced,Female,Unemployed,None,Sikh
336,9,Powell Dam,Anthony,Robinson,32,Sibling,Single,Male,Haematologist,None,None
337,9,Powell Dam,William,Frost,44,Sibling,Single,Male,"Surveyor, building",None,Christian
338,9,Powell Dam,Ann,Akhtar,42,Lodger,Divorced,Female,Passenger transport manager,None,Christian
339,10,Powell Dam,Brandon,Chapman,64,Head,Single,Male,Analytical chemist,None,None
340,10,Powell Dam,Sarah,Hayward,48,None,Single,Female,"Nurse, mental health",None,Catholic
341,11,Powell Dam,Janet,Harper,44,Head,Married,Female,Environmental manager,None,Catholic
342,11,Powell Dam,Sam,Harper,45,Husband,Married,Male,Animator,None,None
343,11,Powell Dam,Rosie,Harper,19,Daughter,Single,Female,University Student,None,Catholic
344,11,Powell Dam,Carol,Harper,19,Daughter,Single,Female,University Student,None,Catholic
345,11,Powell Dam,Victor,Harper,17,Son,NA,Male,Student,None,NA
346,11,Powell Dam,Emma,Harper,15,Daughter,NA,Female,Student,None,NA
347,12,Powell Dam,Sian,Powell,52,Head,Married,Female,Chief Technology Officer,None,Christian
348,12,Powell Dam,Kieran,Powell,52,Husband,Married,Male,Ceramics designer,None,Christian
349,12,Powell Dam,Jonathan,Powell,22,Son,Single,Male,University Student,None,None
350,12,Powell Dam,Tom,Powell,6,Son,NA,Male,Student,None,NA
351,13,Powell Dam,Jade,Morrison,59,Head,Single,Female,Environmental health practitioner,None,Methodist
352,13,Powell Dam,Craig,Turner,21,None,Single,Male,University Student,None,Catholic
353,13,Powell Dam,Claire,Booth,56,None,Single,Female,Consulting civil engineer,None,Christian
354,13,Powell Dam,Alice,Taylor,55,None,Single,Female,Building surveyor,None,None
355,14,Powell Dam,Dorothy,Pearson,83,Head,Married,Female,Retired Public house manager,None,Christian
356,14,Powell Dam,Dennis,Pearson,86,Husband,Married,Male,"Retired Engineer, drilling",None,Christian
357,14,Powell Dam,Maurice,Pearson,22,Grandson,Single,Male,University Student,None,Christian
358,14,Powell Dam,Lewis,Hughes-Pearson,19,Grandson,Single,Male,University Student,None,Christian
359,15,Powell Dam,Yvonne,Chadwick,18,Head,Single,female,University Student,None,None
360,15,Powell Dam,Gareth,Smith,26,None,Single,Male,PhD Student,None,Christian
361,15,Powell Dam,Joe,Pearson,18,None,Single,Male,University Student,None,None
362,15,Powell Dam,Simon,Thorpe,18,None,Single,Male,University Student,None,Christian
363,16,Powell Dam,Elaine,Collins,35,Head,Single,Female,"Restaurant manager, fast food",None,None
364,16,Powell Dam,Robin,Collins,9,Son,NA,Male,Student,None,NA
365,16,Powell Dam,Owen,Collins,9,Son,NA,Male,Student,None,NA
366,16,Powell Dam,Louise,Collins,6,Daughter,NA,Female,Student,None,NA
367,17,Powell Dam,Sean,Evans,56,Head,Single,Male,Oncologist,None,Christian
368,17,Powell Dam,Kayleigh,Reed,18,None,Single,Female,Student,None,NA
369,17,Powell Dam,Hazel,Hussain,57,None,Single,Female,Freight forwarder,None,Catholic
370,17,Powell Dam,Sean,James,28,None,Single,Male,Unemployed,None,Christian
371,18,Powell Dam,Wendy,Allen,70,Head,Married,Female,"Retired Civil engineer, consulting",None,Christian
372,18,Powell Dam,Josh,Allen,71,Husband,Married,Male,"Retired Secretary, company",None,Christian
373,18,Powell Dam,Robert,Wilkinson,21,Grandson,Single,Male,University Student,None,None
374,18,Powell Dam,Debra,Wilkinson,19,Granddaughter,Single,Female,University Student,None,None
375,19,Powell Dam,Jamie,Sharp,44,Head,Married,Male,Chartered public finance accountant,None,Christian
376,19,Powell Dam,Julia,Sharp,39,Wife,Married,Female,Architectural technologist,None,Christian
377,19,Powell Dam,Hugh,Rees-Sharp,9,Son,NA,Male,Student,None,NA
378,19,Powell Dam,Jodie,Rees-Sharp,5,Daughter,NA,Female,Student,None,NA
379,20,Powell Dam,Rebecca,Lee,37,Head,Single,Female,Commercial horticulturist,None,Christian
380,20,Powell Dam,Jayne,Lee,50,Cousin,Single,Female,"Lecturer, further education",None,Christian
381,21,Powell Dam,Emma,Smart,71,Head,Widowed,Female,Retired Proofreader,None,Christian
382,21,Powell Dam,Katy,Smart,42,Daughter,Single,Female,Immunologist,None,None
383,21,Powell Dam,Jack,Smart,40,Son,Divorced,Male,"Scientist, audiological",None,None
384,21,Powell Dam,Lynne,Smart,40,Daughter,Single,Female,Comptroller,None,Christian
385,21,Powell Dam,Josh,Gordon-Smart,37,Son,Single,Male,Chief Marketing Officer,None,Christian
386,21,Powell Dam,Lawrence,Gordon-Smart,33,Son,Divorced,Male,"Designer, multimedia",None,None
387,22,Powell Dam,Karen,Webb,50,Head,Divorced,Female,"Presenter, broadcasting",None,Catholic
388,23,Powell Dam,Frederick,Osborne,61,Head,Single,Male,"Editor, commissioning",None,None
389,24,Powell Dam,Charlotte,Marshall,32,Head,Single,Female,"Administrator, Civil Service",None,Sikh
390,24,Powell Dam,Aaron,Smith,34,Partner,Single,Male,Airline pilot,None,Sikh
391,24,Powell Dam,Marcus,Marshall,0,Son,NA,Male,Child,None,NA
392,24,Powell Dam,Kieran,Sanderson,49,Lodger,Single,Male,Geophysical data processor,None,None
393,25,Powell Dam,Frank,Palmer,68,Head,Widowed,Male,Unemployed,None,None
394,25,Powell Dam,Bethany,Palmer,36,Daughter,Single,Female,"Research officer, government",None,None
395,26,Powell Dam,Carolyn,Wilson,30,Head,Single,Female,Interior and spatial designer,None,None
396,27,Powell Dam,Adrian,Jones,39,Head,Married,Male,"Surveyor, rural practice",None,None
397,27,Powell Dam,Carolyn,Jones,35,Wife,Married,Female,"Teacher, adult education",None,None
398,27,Powell Dam,Jade,Jones,7,Step-Daughter,NA,Female,Student,None,NA
399,27,Powell Dam,Georgia,Andrews,4,Step-Daughter,NA,Female,Child,None,NA
400,28,Powell Dam,Leanne,Williams,46,Head,Single,Female,Electronics engineer,None,Catholic
401,28,Powell Dam,Lindsey,Roberts,40,None,Single,Female,"Solicitor, Scotland",Deaf,None
402,28,Powell Dam,Samuel,Wright,32,None,Single,Male,Engineering geologist,None,Catholic
403,29,Powell Dam,Holly,Hussain,37,Head,Single,Female,Forest/woodland manager,None,None
404,30,Powell Dam,Katherine,Jones,48,Head,Married,Female,Haematologist,None,Christian
405,30,Powell Dam,Gregory,Jones,55,Husband,Married,Male,Operational researcher,None,Christian
406,30,Powell Dam,Brett,Jones,19,Son,Single,Male,University Student,None,Christian
407,30,Powell Dam,Toby,Jones,17,Son,NA,Male,Student,None,NA
408,31,Powell Dam,Holly,Smith,49,Head,Married,Female,"Engineer, electronics",None,Christian
409,31,Powell Dam,Vincent,Smith,51,Husband,Married,Male,Automotive engineer,None,Christian
410,31,Powell Dam,Daniel,Smith,16,Son,NA,Male,Student,None,NA
411,31,Powell Dam,Megan,Smith,10,Adopted Daughter,NA,Female,Student,None,NA
412,31,Powell Dam,Abbie,Smith,10,Daughter,NA,Female,Student,None,NA
413,31,Powell Dam,Martin,Smith,9,Son,NA,Male,Student,None,NA
414,32,Powell Dam,Kerry,Harris,39,Head,Married,Female,Veterinary surgeon,None,None
415,32,Powell Dam,Toby,Harris,40,Husband,Married,Male,Sports therapist,None,None
416,32,Powell Dam,Holly,Harris,5,Daughter,NA,Female,Student,None,NA
417,32,Powell Dam,Leanne,Harris,3,Daughter,NA,Female,Child,None,NA
418,32,Powell Dam,Lauren,Graham,60,Visitor,Single,Female,Adult nurse,None,None
419,33,Powell Dam,Chloe,Johnson,68,Head,Married,Female,Retired Newspaper journalist,None,Christian
420,33,Powell Dam,Lawrence,Johnson,70,Husband,Married,Male,Retired Office manager,None,None
421,33,Powell Dam,Sara,Moore,33,Daughter,Divorced,Female,Corporate treasurer,None,Christian
422,33,Powell Dam,Tracy,Moore,31,Daughter,Divorced,Female,Operations geologist,None,Christian
423,33,Powell Dam,Joel,Moore,31,Son,Single,Male,"Sales professional, IT",None,Christian
424,34,Powell Dam,Joel,Stanley,45,Head,Married,Male,Unemployed,None,Christian
425,34,Powell Dam,Victoria,Stanley,45,Wife,Married,Female,Diplomatic Services operational officer,None,Christian
426,34,Powell Dam,Shirley,Wallis,12,Granddaughter,NA,Female,Student,None,NA
427,34,Powell Dam,Derek,Hamilton,11,Grandson,NA,Male,Student,None,NA
428,34,Powell Dam,Jeffrey,Harvey,7,Grandson,NA,Male,Student,None,NA
429,35,Powell Dam,Sara,Bradley,53,Head,Married,Female,"Physicist, medical",None,None
430,35,Powell Dam,James,Bradley,57,Husband,Married,Male,Nature conservation officer,None,None
431,35,Powell Dam,Arthur,Bradley,15,Son,NA,Male,Student,None,NA
432,36,Powell Dam,Ashleigh,Barnes,63,Head,Married,Female,Early years teacher,None,Christian
433,36,Powell Dam,Gavin,Barnes,57,Husband,Married,Male,Geophysicist/field seismologist,None,Christian
434,36,Powell Dam,Annette,Barnes,32,Daughter,Divorced,Female,"Development worker, community",None,Christian
435,36,Powell Dam,Beth,Barnes,29,Daughter,Single,Female,Equality and diversity officer,None,None
436,37,Powell Dam,Hazel,Jones,47,Head,Married,Female,Learning disability nurse,None,Catholic
437,37,Powell Dam,Damian,Jones,56,Husband,Married,Male,"Engineer, maintenance",None,None
438,37,Powell Dam,Sean,Jones,18,Son,Divorced,Male,Student,None,None
439,37,Powell Dam,Iain,Jones,17,Son,NA,Male,Student,None,NA
440,38,Powell Dam,Georgia,Clark,28,Head,Married,Female,Environmental health practitioner,None,Catholic
441,38,Powell Dam,Stewart,Clark,27,Husband,Married,Male,Horticultural consultant,None,Catholic
442,38,Powell Dam,Brenda,Clark,1,Daughter,NA,Female,Child,None,NA
443,38,Powell Dam,Bethan,Brown,20,Lodger,Single,Female,University Student,None,None
444,39,Powell Dam,Harriet,Newton,84,Head,Single,Female,Retired Actuary,None,None
445,39,Powell Dam,Tracey,Smith-Newton,22,Granddaughter,Single,Female,University Student,None,None
446,39,Powell Dam,William,Smith-Newton,19,Grandson,Single,Male,University Student,None,None
447,39,Powell Dam,Diane,Smith-Newton,17,Granddaughter,NA,Female,Student,None,NA
448,40,Powell Dam,Alexandra,McCarthy,30,Head,Single,Female,Information officer,None,Christian
449,40,Powell Dam,Leah,Lane,56,None,Single,Female,"Engineer, civil (contracting)",None,Christian
450,40,Powell Dam,Paige,Barrett,41,None,Single,Female,"Therapist, music",None,Catholic
451,40,Powell Dam,Dawn,Clark,56,None,Divorced,Female,Materials engineer,None,None
452,40,Powell Dam,Olivia,Walters,47,None,Single,Female,Engineering geologist,None,Catholic
453,40,Powell Dam,Jade,Patel,35,None,Single,Female,Unemployed,None,None
454,41,Powell Dam,Samuel,Davies,19,Head,Single,Male,Financial manager,None,Christian
455,42,Powell Dam,Sharon,Shaw,39,Head,Married,Female,Probation officer,None,Catholic
456,42,Powell Dam,Mathew,Shaw,41,Husband,Married,Male,Osteopath,None,None
457,42,Powell Dam,Shannon,Shaw,2,Adopted Daughter,NA,Female,Child,None,NA
458,42,Powell Dam,Derek,Shaw,2,Son,NA,Male,Child,None,NA
459,42,Powell Dam,Tom,Shaw,1,Son,NA,Male,Child,None,NA
460,43,Powell Dam,Beverley,Thomas,86,Head,Widowed,Female,Retired Surgeon,None,None
461,44,Powell Dam,Natalie,Bibi,46,Head,Single,Female,Financial risk analyst,None,Christian
462,44,Powell Dam,Kyle,Bibi,10,Son,NA,Male,Student,None,NA
463,44,Powell Dam,Stewart,Bibi,7,Son,NA,Male,Student,None,NA
464,44,Powell Dam,Julian,Bibi,7,Son,NA,Male,Student,None,NA
465,44,Powell Dam,Raymond,Bibi,3,Son,NA,Male,Child,None,NA
466,1,Gill Extensions,Jade,Dean,38,Head,Single,Female,Economist,None,Catholic
467,1,Gill Extensions,Guy,Martin,59,None,Single,Male,Unemployed,None,Christian
468,2,Gill Extensions,Fiona,Cole,39,Head,Married,Female,Health service manager,None,Christian
469,2,Gill Extensions,Roger,Cole,40,Husband,Married,Male,Trade mark attorney,None,Christian
470,2,Gill Extensions,Maria,Gould-Cole,12,Daughter,NA,Female,Student,None,NA
471,2,Gill Extensions,Martin,Gould-Cole,8,Son,NA,Male,Student,None,NA
472,3,Gill Extensions,Julia,Holmes,36,Head,Married,Female,"Designer, exhibition/display",None,None
473,3,Gill Extensions,Carl,Holmes,35,Husband,Married,Male,Event organiser,None,None
474,3,Gill Extensions,Clare,Holmes,10,Daughter,NA,Female,Student,None,NA
475,3,Gill Extensions,Nicole,Holmes,7,Daughter,NA,Female,Student,None,NA
476,4,Gill Extensions,Harriet,Weston,48,Head,Single,F,Unemployed,None,Catholic
477,4,Gill Extensions,Kirsty,Weston,12,Daughter,NA,Female,Student,None,NA
478,4,Gill Extensions,Darren,Weston,8,Son,NA,Male,Student,None,NA
479,4,Gill Extensions,Peter,Patel-Weston,7,Son,NA,Male,Student,None,NA
480,5,Gill Extensions,Harry,Potter,51,Head,Married,Male,"Therapist, sports",None,None
481,5,Gill Extensions,Michelle,Potter,49,Wife,Married,female,Health and safety adviser,None,None
482,5,Gill Extensions,Jemma,Potter,13,Daughter,NA,Female,Student,None,NA
483,5,Gill Extensions,Abbie,Potter,9,Daughter,NA,Female,Student,None,NA
484,5,Gill Extensions,Yvonne,Potter,5,Daughter,NA,Female,Student,None,NA
485,5,Gill Extensions,Duncan,Potter,1,Son,NA,Male,Child,None,NA
486,6,Gill Extensions,Kirsty,Thompson,41,Head,Married,Female,Naval architect,None,Christian
487,6,Gill Extensions,Craig,Thompson,43,Husband,Married,Male,"Civil engineer, contracting",None,Christian
488,6,Gill Extensions,Eileen,Thompson,24,Daughter,Divorced,Female,Equities trader,None,Christian
489,6,Gill Extensions,Diana,Thompson,0,Daughter,NA,Female,Child,None,NA
490,1,Lomondfold Avenue,Frederick,Jackson,48,Head,Single,Male,Theatre manager,None,Catholic
491,2,Lomondfold Avenue,Bethany,Higgins,44,Head,Single,Female,"Therapist, sports",None,None
492,2,Lomondfold Avenue,Howard,Chan,50,Partner,Single,Male,"Administrator, education",None,None
493,3,Lomondfold Avenue,Gemma,West,40,Head,Single,Female,"Therapist, nutritional",None,Christian
494,4,Lomondfold Avenue,Sharon,Rose,40,Head,Single,Female,IT technical support officer,None,Catholic
495,5,Lomondfold Avenue,Jack,Taylor,32,Head,Single,Male,"Radiographer, diagnostic",None,Christian
496,5,Lomondfold Avenue,Emma,Jones,30,Partner,Single,female,Television camera operator,None,Christian
497,6,Lomondfold Avenue,Helen,Ryan,29,Head,Single,Female,IT technical support officer,None,Catholic
498,7,Lomondfold Avenue,Ross,Edwards,28,Head,Divorced,Male,"Teacher, music",None,Catholic
499,8,Lomondfold Avenue,Abigail,Saunders,62,Head,Married,Female,"Production assistant, television",None,Christian
500,8,Lomondfold Avenue,Roger,Saunders,60,Husband,Married,Male,"Surveyor, commercial/residential",None,Christian
501,8,Lomondfold Avenue,Patrick,Saunders,36,Son,Single,Male,Biomedical engineer,None,None
502,9,Lomondfold Avenue,Sandra,Harper,71,Head,Married,Female,Retired Warden/ranger,None,Christian
503,9,Lomondfold Avenue,Henry,Harper,74,Husband,Married,Male,Retired Food technologist,None,Christian
504,10,Lomondfold Avenue,Owen,O'Connor,60,Head,Single,Male,"Engineer, petroleum",None,Christian
505,10,Lomondfold Avenue,Joyce,Green,66,Partner,Single,Female,Health physicist,None,Christian
506,11,Lomondfold Avenue,Lucy,Gill,57,Head,Single,Female,"Horticulturist, commercial",None,None
507,12,Lomondfold Avenue,Katy,Douglas,29,Head,Single,Female,Secretary/administrator,None,Sikh
508,13,Lomondfold Avenue,Damien,Palmer,22,Head,Single,Male,Learning mentor,None,None
509,14,Lomondfold Avenue,Paige,Macdonald,22,Head,Single,Female,University Student,None,Christian
510,15,Lomondfold Avenue,John,Webster,67,Head,Divorced,Male,Associate Professor,None,Christian
511,16,Lomondfold Avenue,Carl,Law,32,Head,Single,Male,"Biochemist, clinical",None,None
512,17,Lomondfold Avenue,Kerry,Wilson,36,Head,Single,Female,Seismic interpreter,None,Catholic
513,17,Lomondfold Avenue,Harry,Parker,40,Partner,Single,Male,Building services engineer,None,Catholic
514,18,Lomondfold Avenue,Lee,Davis,75,Head,Married,Male,Retired Best boy,None,Methodist
515,18,Lomondfold Avenue,Suzanne,Davis,72,Wife,Married,Female,Retired Manufacturing systems engineer,None,Methodist
516,19,Lomondfold Avenue,Alexandra,Patel,18,Head,Single,Female,Student,None,NA
517,19,Lomondfold Avenue,Henry,Norris,22,Partner,Single,Male,University Student,None,NA
518,20,Lomondfold Avenue,Justin,Taylor,71,Head,D,Male,Retired Marine scientist,None,None
519,21,Lomondfold Avenue,Kieran,Day,60,Head,Single,Male,"Teacher, early years/pre",None,Christian
520,21,Lomondfold Avenue,Lydia,Wilkinson,58,None,Single,Female,Lexicographer,None,Catholic
521,22,Lomondfold Avenue,Jodie,Griffin,61,Head,Married,Female,Structural engineer,None,Christian
522,22,Lomondfold Avenue,Callum,Griffin,57,Husband,Married,Male,Unemployed,None,Christian
523,22,Lomondfold Avenue,Dale,Griffin,31,Son,Single,Male,"Journalist, magazine",None,Christian
524,23,Lomondfold Avenue,Katie,Cooper,71,Head,Single,Female,Retired Equities trader,None,Methodist
525,24,Lomondfold Avenue,Carly,Chambers,87,Head,Widowed,Female,Retired Biomedical scientist,None,Christian
526,25,Lomondfold Avenue,Heather,Hill,65,Head,Widowed,Female,Gaffer,None,Christian
527,26,Lomondfold Avenue,Annette,Wilson,45,Head,Married,Female,Unemployed,None,Catholic
528,26,Lomondfold Avenue,Leigh,Wilson,39,Husband,Married,Male,Trading standards officer,None,None
